#CopyNumber, LargeOrSmall, NorthOrSouth, CircleNumber, PositionNumber, UpOrDown, PmtType, GCU, Channel
#update PMT Mapping file by wuchx 230831, including fourth Circle.
674,0,0,48,22,0,2,3742,1
675,0,0,48,23,0,1,3742,2
676,0,0,48,24,0,2,3742,3
677,0,0,48,25,0,2,3663,3
678,0,0,48,26,0,2,3663,2
679,0,0,48,27,0,2,3663,1
680,0,0,48,28,0,1,7260,1
681,0,0,48,29,0,1,7260,2
682,0,0,48,30,0,1,7260,3
683,0,0,48,31,0,1,3566,3
684,0,0,48,32,0,2,3566,2
685,0,0,48,33,0,1,3566,1
686,0,0,48,34,0,2,3523,1
687,0,0,48,35,0,2,3523,2
688,0,0,48,36,0,2,3523,3
689,0,0,48,37,0,2,6792,3
690,0,0,48,38,0,2,6792,2
691,0,0,48,39,0,2,6792,1
692,0,0,48,40,0,2,5131,3
693,0,0,48,41,0,2,5131,2
694,0,0,48,42,0,2,5131,1
695,0,0,48,43,0,2,6116,3
696,0,0,48,44,0,2,6116,2
697,0,0,48,45,0,1,6116,1
698,0,0,48,46,0,2,5646,1
699,0,0,48,47,0,2,5646,2
700,0,0,48,48,0,2,5646,3
701,0,0,48,49,0,2,4498,3
702,0,0,48,50,0,2,4498,2
703,0,0,48,51,0,2,4498,1
